time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
458.0778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.1889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2444,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.2889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.3889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.4667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
