time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
442.1556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.1667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.1778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.1889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2444,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.2889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3445,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.3889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4445,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.4889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
442.5,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
