time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
217.5778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.6889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.7889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.8889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.9,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.9111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.9222,0.0225,0.79,0.055,0.0118,0.0118,0.0118
217.9333,0.0225,0.79,0.0554,0.3599,0.3599,0.3599
217.9444,0.0225,0.79,0.0561,0.9644,0.9644,0.9644
217.9556,0.0224,0.79,0.0571,1.0481,1.0481,1.0481
217.9667,0.0222,0.79,0.0581,1.0626,1.0626,1.0626
217.9778,0.0212,0.7906,0.0588,0.9646,0.9646,0.9646
217.9889,0.0205,0.7906,0.06,0.3191,0.3191,0.3191
218.0,0.0203,0.7905,0.061,0.7735,0.7735,0.7735
218.0111,0.0203,0.7904,0.0619,0.7365,0.7365,0.7365
218.0222,0.0202,0.7903,0.0631,0.5007,0.5007,0.5007
218.0333,0.0202,0.7903,0.0643,0.9578,0.9578,0.9578
218.0444,0.0203,0.7901,0.0657,0.8014,0.8014,0.8014
218.0556,0.0205,0.7901,0.067,0.8174,0.8174,0.8174
218.0667,0.0209,0.7901,0.0682,0.7944,0.7944,0.7944
218.0778,0.0214,0.79,0.0694,0.5558,0.5558,0.5558
218.0889,0.022000000000000002,0.79,0.0707,0.495,0.495,0.495
218.1,0.0227,0.7901,0.0719,0.5251,0.5251,0.5251
218.1111,0.0234,0.7901,0.0732,0.4299,0.4299,0.4299
218.1222,0.0243,0.7901,0.0745,0.4983,0.4983,0.4983
218.1333,0.0254,0.7901,0.0759,0.4335,0.4335,0.4335
