time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
993.4,-0.1594,0.79,0.0469,-0.0024,-0.0024,-0.0024
993.4111,-0.1594,0.79,0.0469,-0.0003,-0.0003,-0.0003
993.4222,-0.1594,0.79,0.0469,0.0009,0.0009,0.0009
993.4333,-0.1594,0.79,0.0469,0.0013,0.0013,0.0013
993.4445,-0.1594,0.79,0.0469,0.0011,0.0011,0.0011
993.4556,-0.1594,0.79,0.0469,0.0008,0.0008,0.0008
993.4667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.4778,-0.1594,0.79,0.0469,0.0003,0.0003,0.0003
993.4889,-0.1594,0.79,0.0469,0.0003,0.0003,0.0003
993.5,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.5111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.5222,-0.1594,0.79,0.0469,0.0005,0.0005,0.0005
993.5334,-0.1594,0.79,0.0469,0.0005,0.0005,0.0005
993.5445,-0.1594,0.79,0.0469,0.0005,0.0005,0.0005
993.5556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.5667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.5778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.5889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6223,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6334,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6445,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.6889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7222,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7333,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7444,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.7889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8112,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8223,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
