time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
795.7778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8112,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8223,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8334,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8445,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.8889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9222,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9333,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9445,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.9889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0222,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0333,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0444,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.0889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1223,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1334,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1445,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.1889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2222,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2333,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2444,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.2889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.3,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
796.3112,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
